,maoyanID,name,rating,box,box_day,box_week,release_date,IMAX,reg_美国,reg_中国大陆,reg_日本,reg_印度,reg_中国港澳台,week_want,online_days,weibo_topic,gen_爱情,gen_剧情,gen_奇幻,gen_传记,gen_家庭,gen_悬疑,gen_恐怖,gen_犯罪,gen_科幻,gen_灾难,gen_历史,gen_冒险,gen_动画,gen_运动,gen_动作,gen_古装,gen_战争,gen_喜剧,gen_音乐,gen_纪录片,gen_惊悚,spring,labor,summer,national
479,343866,超级快递,8.5,61818000.0,8405000.0,28630000.0,2016-12-02 00:00:00,False,False,True,False,False,False,18324.0,28.0,10790000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
481,248867,非常父子档,8.5,7230000.0,1637000.0,5158000.0,2016-11-04 00:00:00,False,False,True,False,False,False,3304.0,14.0,1930000.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
482,410612,驴得水,8.5,172000000.0,15758000.0,58291000.0,2016-10-28 00:00:00,False,False,True,False,False,False,17871.0,38.0,920000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
483,344898,蜡笔小新：梦境世界大突击,8.5,22425000.0,3128000.0,16442000.0,2016-11-04 00:00:00,False,False,False,True,False,False,15278.0,23.0,2030000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
490,246267,长城,8.4,1173000000.0,123000000.0,471000000.0,2016-12-16 00:00:00,False,True,True,False,False,False,50298.0,57.0,133890000.0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
492,246591,大鱼海棠,8.4,564000000.0,72008000.0,227000000.0,2016-07-08 00:00:00,False,False,True,False,False,False,75282.0,39.0,25180000.0,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
494,338506,赏金猎人,8.4,213000000.0,42052000.0,117000000.0,2016-07-01 00:00:00,False,False,True,False,False,True,35594.0,29.0,5200000.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
499,246430,圆梦巨人,8.4,143000000.0,21875000.0,91219000.0,2016-10-14 00:00:00,True,True,False,False,False,False,18163.0,31.0,490000.00000000006,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
500,1196913,我在故宫修文物,8.4,6458000.0,1086000.0,3720000.0,2016-12-16 00:00:00,False,False,True,False,False,False,8964.0,19.0,2280000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
508,246897,微微一笑很倾城,8.3,275000000.0,47371000.0,122000000.0,2016-08-12 00:00:00,False,False,True,False,False,False,45785.0,32.0,23270000.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
