,maoyanID,name,release_date,region,rating,box,box_day,box_week,week_want,special_date,IMAX,gen_爱情,gen_动画,gen_科幻,gen_惊悚,gen_犯罪,gen_悬疑,gen_家庭,gen_纪录片,gen_喜剧,gen_动作,gen_奇幻,gen_冒险,gen_剧情,gen_恐怖,region_中国大陆,region_中国港澳台,region_美国,region_日本,region_印度,region_其他,director_famous,actor_famous,IP_rewrite
144,1207042,哆啦A梦：大雄的金银岛,2018/6/1,"日本
",8.2,209000000,83924000,157000000,53792,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,1
145,1199029,玛丽与魔女之花,2018/4/28,"日本
",8.2,20622000,1668000,5971000,9969,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,1
146,345991,暴裂无声,2018/4/4,"中国大陆
",8.2,54248000,8061000,35869000,15624,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,1,0
147,1220838,藏北秘岭-重返无人区,2018/8/31,"中国大陆
",8.2,20576000,1330000,4031000,8409,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
148,78480,狗十三,2018/12/7,"中国大陆
",8.2,51260000,3820000,16145000,12026,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,1,0
149,1218299,深海历险记,2018/8/24,"美国,中国大陆
",8.2,17598000,2908000,10418000,6456,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0,1,0,0,0,0,0,0
150,1165276,摘金奇缘,2018/11/30,"美国
",8.2,11489000,2881000,7981000,4922,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,0,1
151,1201231,让我怎么相信你,2018/9/14,"中国大陆
",8.2,1836000,743000,1482000,642,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
152,1207103,北方一片苍茫,2018/7/20,中国大陆,8.2,732000,103000,319000,1291,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
153,346272,捉妖记2,2018/2/16,"中国大陆,中国香港
",8.1,2237000000,546000000,1204000000,126088,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,1,1
154,341516,狄仁杰之四大天王,2018/7/27,"中国大陆
",8.1,606000000,110000000,296000000,57719,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,1,0
155,78460,环太平洋：雷霆再起,2018/3/23,"美国
",8.1,633000000,136000000,411000000,79094,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1,0,0,0,0,0,1
156,1203437,影,2018/9/30,"中国大陆
",8.1,628000000,66156000,66231000,33209,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,0,1,1,0
157,1200978,遇见你真好,2018/3/29,"中国大陆
",8.1,51012000,12084000,33701000,27859,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
158,1139994,猛虫过江,2018/6/15,"中国大陆
",8.1,203000000,18243000,66307000,19108,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
159,341944,游侠索罗：星球大战外传,2018/5/25,"美国
",8.1,106000000,20104000,63183000,21557,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,1,1,1
160,1218267,亲爱的，我要和别人结婚了,2018/5/12,"中国大陆
",8.1,1941000,614000,1007000,18209,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
161,1204476,印度暴徒,2018/12/28,"印度
",8.1,61929000,10435000,32633000,17790,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,1,0
162,1187542,昼颜,2018/5/18,"日本
",8.1,14337000,2472000,7554000,15332,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,1,0,0,0,0,0
163,1227585,新灰姑娘,2018/10/1,"中国大陆,美国
",8.1,60138000,12481000,55003000,8456,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,1,0,0,0,0,0,1
164,1203678,我的间谍前男友,2018/10/19,"美国
",8.1,61745000,12072000,40092000,6876,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0
165,1203436,金钱世界,2018/3/2,"美国,英国
",8.1,11157000,2638000,6801000,9692,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,1,0,0,0
166,1198834,给19岁的我自己,2018/5/29,"中国大陆
",8.1,4388000,1824000,3740000,12986,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
167,337129,亡命救赎,2018/11/30,"法国
",8.1,14217000,5759000,11349000,6927,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,0
168,1182417,萌犬好声音,2018/3/24,"加拿大
",8.1,9802000,4704000,7520000,5579,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,0
169,1238843,一百年很长吗,2018/12/1,"中国大陆
",8.1,1238000,522000,790000,3480,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
170,1204528,超大号美人,2018/8/28,美国,8.1,1482000,611000,1405000,3279,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,0,0
171,1212982,人怕出名猪怕壮,2018/2/20,"中国大陆
",8.1,8378000,218000,760000,1111,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
172,1228750,照相师,2018/12/12,"中国大陆
",8.1,20891000,128000,447000,1010,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
174,1216365,小偷家族,2018/8/3,"日本
",8,96749000,13399000,48395000,21215,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,0,1,0,0
175,1204622,水形物语,2018/3/16,"美国
",8,105000000,21817000,67718000,43523,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0
176,343176,奇葩朵朵,2018/4/4,"中国大陆
",8,30214000,10692000,26689000,16247,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
177,1208008,泄密者,2018/6/15,"中国香港
",8,70821000,10163000,34258000,17567,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,1,0
178,1197507,吃货宇宙,2018/6/16,"中国大陆
",8,4857000,1707000,3095000,8693,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
179,1218043,荒城纪,2018/5/18,中国大陆,8,1374000,311000,834000,3369,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
180,1208934,因果启示录,2018/6/8,"中国大陆
",8,1334000,250000,661000,2288,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
181,858598,莫斯科陷落,2018/2/2,"俄罗斯
",8,2380000,554000,1129000,1772,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0
182,344551,清水里的刀子,2018/4/4,"中国大陆
",8,582000,102000,303000,1857,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,0,0
183,338463,西游记女儿国,2018/2/16,"中国大陆,中国香港
",7.9,727000000,164000000,331000000,53260,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,1,1
184,1217402,李茶的姑妈,2018/9/30,"中国大陆
",7.9,604000000,106000000,106000000,36242,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,1,1
188,346015,胡桃夹子和四个王国,2018/11/2,"美国
",7.9,112000000,23662000,82552000,31315,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,1,1
189,1217650,魔镜奇缘2,2018/6/1,"中国大陆
",7.9,20629000,9558000,16557000,13951,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,1
190,13457,龙凤斗,2018/2/10,中国香港,7.9,14915000,312000,500000,1918,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,1,0
192,1198977,大象席地而坐,2018/7/12,"中国大陆
",7.9,9767000,3743000,7577000,234,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,1
193,367845,无敌原始人,2018/10/19,"英国,法国,美国
",7.9,3595000,367000,2807000,2502,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,1,0,1,0
195,577564,神奇动物：格林德沃之罪,2018/11/16,"美国,英国
",7.8,398000000,80405000,260000000,69892,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,1,0,1,1
196,1203310,龙虾刑警,2018/6/22,"中国大陆
",7.8,68791000,18083000,44855000,16077,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
197,1208148,中国蓝盔,2018/11/23,"中国大陆
",7.8,17928000,4887000,10390000,19506,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
198,1216326,你好，之华,2018/11/9,"中国大陆
",7.8,80201000,13221000,40349000,20076,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,0,0,0,0,0,1,1,0
199,410641,我说的都是真的,2018/3/30,"中国大陆
",7.8,17836000,4621000,11438000,13115,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
200,342607,未择之路,2018/9/14,"中国大陆
",7.8,7454000,2351000,5406000,4293,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,1,0
201,1189938,道高一丈,2018/9/6,"中国大陆
",7.8,12070000,1401000,9686000,5828,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
202,1170241,哥斯拉：怪兽行星,2018/9/21,"日本
",7.8,1615000,263000,1050000,6997,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,0,0,0,1
203,1199188,犬之岛,2018/4/20,"美国
",7.8,43525000,6928000,26054000,11780,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,1,0
204,1163201,快乐星球之三十六号,2018/6/30,"中国大陆
",7.8,688000,146000,201000,2196,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,1
205,879019,西小河的夏天,2018/5/25,"中国大陆
",7.8,1917000,294000,787000,2976,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0
207,1208343,毕业旅行笑翻天,2018/2/1,"中国大陆
",7.8,218000,121000,171000,785,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0
208,1203554,寂静之地,2018/5/18,"美国
",7.7,220000000,33302000,113000000,69816,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,0,0
